Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text,Top-Level Comment ID
UgzOls-pa56eicGdTbt4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-09-26T01:33:18.191783+00:00,0,,6W2iC0g1xr0,"{""text"":""Drink the broth man!!""}",
UgzOeL1IS22PFyd1wjt4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-09-02T18:34:59.899081+00:00,0,,uDQNruoY8kc,"{""text"":""Those burgers look huge though. Unless you guys have really small hands.""}",
UgxD_DeUALhOITR8H8d4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-09-02T18:25:13.315785+00:00,0,,uDQNruoY8kc,"{""text"":""Christ I thought you were saying a porno at first. Lol.""}",
UgxUD9vdVlBx6otWBUJ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-09-01T03:16:14.295219+00:00,0,,QroUDtpnjn4,"{""text"":""🗑""}",
UgzFAkyaMp9cMHMjmRN4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-31T08:57:02.147735+00:00,0,,ZEzpMI4n3JY,"{""text"":""Tannar you are beautiful. Use your natural hair color.. Be true to your hair...😉""}",
UgxseNmdhvFAMMteNIl4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-24T15:08:41.384752+00:00,0,,xEtOy22V9w0,"{""text"":""Thanks for the videos. This one of my favorite channels.""}",
Ugzq4X8vUgUvHRt2rzx4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-24T05:38:05.867744+00:00,0,,1YXJ6bfnR7Y,"{""text"":""Grilled chicken. Yeah... That's what I'd eat everyday.""}",
UgyKODegtUCjnmTfTXN4AaABAg.9Cg-MRFh1h39Cg107Q-q6x,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-23T00:10:47.091667+00:00,0,UgyKODegtUCjnmTfTXN4AaABAg,zNbxxg8uqLw,"{""text"":""Not really a challenge just more of a enjoying meal with a friend.""}",UgyKODegtUCjnmTfTXN4AaABAg
UgyKODegtUCjnmTfTXN4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-22T23:56:21.410076+00:00,0,,zNbxxg8uqLw,"{""text"":""Hell yeah joel! I've been waiting for another seafood challenge. Haven't finished the video yet but I know you are gonna kill it.""}",
UgwOxkggPwsNumLxluJ4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-22T23:53:58.175081+00:00,0,,utK9_kfoLoI,"{""text"":""Should of got the garlic stuffed green olives. There super good. Great job on the challenge.""}",
UgwVQsd5QMUZ3WN2S1J4AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-21T08:14:19.97269+00:00,0,,7xfyN-yBZ7c,"{""text"":""Ohh and now your profiting from your sons devilish acts by being a inspirational speaker... Pitiful!!""}",
UgxQPIAZuML7J_TrQH14AaABAg,UCsEp7VYQ0e7CbGtEFr7czdw,2020-08-21T08:08:12.5543+00:00,0,,U5QG-I9Ced0,"{""text"":""The cops stood around outside the whole time when they should of went in and handled the problem.""}",
